x,country,date,historyValue1,historyValue2,historyValue3,historyValue4
21,SGD,2017/09/29,21.82,22.6,22.24,22.42
22,SGD,2017/09/28,21.79,22.57,22.21,22.39
23,SGD,2017/09/27,21.79,22.57,22.21,22.39
24,SGD,2017/09/26,21.82,22.6,22.24,22.42
25,SGD,2017/09/25,21.87,22.65,22.29,22.47
26,SGD,2017/09/22,21.89,22.67,22.31,22.49
27,SGD,2017/09/21,21.84,22.62,22.26,22.44
28,SGD,2017/09/20,21.88,22.66,22.3,22.48
29,SGD,2017/09/19,21.84,22.62,22.26,22.44
30,SGD,2017/09/18,21.86,22.64,22.28,22.46
31,SGD,2017/09/15,21.83,22.61,22.25,22.43
32,SGD,2017/09/14,21.79,22.57,22.21,22.39
33,SGD,2017/09/13,21.85,22.63,22.27,22.45
34,SGD,2017/09/12,21.83,22.61,22.25,22.43
35,SGD,2017/09/11,21.85,22.63,22.27,22.45
36,SGD,2017/09/08,21.9,22.68,22.32,22.5
37,SGD,2017/09/07,21.81,22.59,22.23,22.41
38,SGD,2017/09/06,21.76,22.54,22.18,22.36
39,SGD,2017/09/05,21.67,22.45,22.09,22.27
40,SGD,2017/09/04,21.66,22.44,22.08,22.26
41,SGD,2017/09/01,21.69,22.47,22.11,22.29
42,SGD,2017/08/31,21.7,22.48,22.12,22.3
43,SGD,2017/08/30,21.73,22.51,22.15,22.33
44,SGD,2017/08/29,21.83,22.61,22.25,22.43
45,SGD,2017/08/28,21.75,22.53,22.17,22.35
46,SGD,2017/08/25,21.71,22.49,22.13,22.31
47,SGD,2017/08/24,21.72,22.5,22.14,22.32
48,SGD,2017/08/23,21.73,22.51,22.15,22.33
49,SGD,2017/08/22,21.74,22.52,22.16,22.34
50,SGD,2017/08/21,21.75,22.53,22.17,22.35
51,SGD,2017/08/18,21.71,22.49,22.13,22.31
52,SGD,2017/08/17,21.72,22.5,22.14,22.32
53,SGD,2017/08/16,21.68,22.46,22.1,22.28
54,SGD,2017/08/15,21.68,22.46,22.1,22.28
55,SGD,2017/08/14,21.76,22.54,22.18,22.36
56,SGD,2017/08/11,21.74,22.52,22.16,22.34
57,SGD,2017/08/10,21.7,22.48,22.12,22.3
58,SGD,2017/08/09,21.67,22.45,22.09,22.27
59,SGD,2017/08/08,21.67,22.45,22.09,22.27
60,SGD,2017/08/07,21.69,22.47,22.11,22.29
61,SGD,2017/08/04,21.76,22.54,22.18,22.36
62,SGD,2017/08/03,21.7,22.48,22.12,22.3
63,SGD,2017/08/02,21.71,22.49,22.13,22.31
64,SGD,2017/08/01,21.78,22.56,22.2,22.38
0,CHF,2017/11/01,29.53,30.59,30.06,30.35
1,CHF,2017/10/31,29.61,30.67,30.14,30.43
2,CHF,2017/10/30,29.56,30.62,30.09,30.38
3,CHF,2017/10/27,29.63,30.69,30.16,30.45
4,CHF,2017/10/26,29.85,30.91,30.38,30.67
5,CHF,2017/10/25,29.85,30.91,30.38,30.67
6,CHF,2017/10/24,30.02,31.08,30.55,30.84
7,CHF,2017/10/23,30.02,31.08,30.55,30.84
8,CHF,2017/10/20,30.15,31.21,30.68,30.97
9,CHF,2017/10/19,30.2,31.26,30.73,31.02
10,CHF,2017/10/18,30.16,31.22,30.69,30.98
11,CHF,2017/10/17,30.21,31.27,30.74,31.03
12,CHF,2017/10/16,30.24,31.3,30.77,31.06
13,CHF,2017/10/13,30.25,31.31,30.78,31.07
14,CHF,2017/10/12,30.37,31.43,30.9,31.19
15,CHF,2017/10/11,30.32,31.38,30.85,31.14
16,CHF,2017/10/06,30.31,31.37,30.84,31.13
17,CHF,2017/10/05,30.43,31.49,30.96,31.25
18,CHF,2017/10/03,30.5,31.56,31.03,31.32
19,CHF,2017/10/02,30.61,31.67,31.14,31.43
20,CHF,2017/09/30,30.57,31.63,31.1,31.39
21,CHF,2017/09/29,30.55,31.61,31.08,31.37
22,CHF,2017/09/28,30.51,31.57,31.04,31.33
23,CHF,2017/09/27,30.42,31.48,30.95,31.24
24,CHF,2017/09/26,30.44,31.5,30.97,31.26
25,CHF,2017/09/25,30.35,31.41,30.88,31.17
26,CHF,2017/09/22,30.46,31.52,30.99,31.28
27,CHF,2017/09/21,30.38,31.44,30.91,31.2
28,CHF,2017/09/20,30.66,31.72,31.19,31.48
29,CHF,2017/09/19,30.7,31.76,31.23,31.52
30,CHF,2017/09/18,30.65,31.71,31.18,31.47
31,CHF,2017/09/15,30.55,31.61,31.08,31.37
32,CHF,2017/09/14,30.5,31.56,31.03,31.32
33,CHF,2017/09/13,30.65,31.71,31.18,31.47
34,CHF,2017/09/12,30.73,31.79,31.26,31.55
35,CHF,2017/09/11,30.94,32,31.47,31.76
36,CHF,2017/09/08,30.98,32.04,31.51,31.8
37,CHF,2017/09/07,30.78,31.84,31.31,31.6
38,CHF,2017/09/06,30.85,31.91,31.38,31.67
39,CHF,2017/09/05,30.64,31.7,31.17,31.46
40,CHF,2017/09/04,30.66,31.72,31.19,31.48
41,CHF,2017/09/01,30.65,31.71,31.18,31.47
42,CHF,2017/08/31,30.63,31.69,31.16,31.45
43,CHF,2017/08/30,30.9,31.96,31.43,31.72
44,CHF,2017/08/29,31.18,32.24,31.71,32
45,CHF,2017/08/28,30.92,31.98,31.45,31.74
46,CHF,2017/08/25,30.64,31.7,31.17,31.46
47,CHF,2017/08/24,30.68,31.74,31.21,31.5
48,CHF,2017/08/23,30.59,31.65,31.12,31.41
49,CHF,2017/08/22,30.69,31.75,31.22,31.51
50,CHF,2017/08/21,30.71,31.77,31.24,31.53
51,CHF,2017/08/18,30.84,31.9,31.37,31.66
52,CHF,2017/08/17,30.75,31.81,31.28,31.57
53,CHF,2017/08/16,30.46,31.52,30.99,31.28
54,CHF,2017/08/15,30.44,31.5,30.97,31.26
55,CHF,2017/08/14,30.7,31.76,31.23,31.52
56,CHF,2017/08/11,30.83,31.89,31.36,31.65
57,CHF,2017/08/10,30.67,31.73,31.2,31.49
58,CHF,2017/08/09,30.62,31.68,31.15,31.44
59,CHF,2017/08/08,30.33,31.39,30.86,31.15
60,CHF,2017/08/07,30.38,31.44,30.91,31.2
61,CHF,2017/08/04,30.51,31.57,31.04,31.33
62,CHF,2017/08/03,30.5,31.56,31.03,31.32
63,CHF,2017/08/02,30.6,31.66,31.13,31.42
64,CHF,2017/08/01,30.61,31.67,31.14,31.43
0,JPY,2017/11/01,0.2566,0.2676,0.263,0.267
1,JPY,2017/10/31,0.2583,0.2693,0.2647,0.2687
2,JPY,2017/10/30,0.2572,0.2682,0.2636,0.2676
3,JPY,2017/10/27,0.257,0.268,0.2634,0.2674
4,JPY,2017/10/26,0.2573,0.2683,0.2637,0.2677
5,JPY,2017/10/25,0.2573,0.2683,0.2637,0.2677
6,JPY,2017/10/24,0.2579,0.2689,0.2643,0.2683
7,JPY,2017/10/23,0.2576,0.2686,0.264,0.268
8,JPY,2017/10/20,0.2584,0.2694,0.2648,0.2688
9,JPY,2017/10/19,0.26,0.271,0.2664,0.2704
10,JPY,2017/10/18,0.2601,0.2711,0.2665,0.2705
11,JPY,2017/10/17,0.2609,0.2719,0.2673,0.2713
12,JPY,2017/10/16,0.2616,0.2726,0.268,0.272
13,JPY,2017/10/13,0.261,0.272,0.2674,0.2714
14,JPY,2017/10/12,0.2608,0.2718,0.2672,0.2712
15,JPY,2017/10/11,0.2607,0.2717,0.2671,0.2711
16,JPY,2017/10/06,0.2604,0.2714,0.2668,0.2708
17,JPY,2017/10/05,0.2607,0.2717,0.2671,0.2711
18,JPY,2017/10/03,0.2608,0.2718,0.2672,0.2712
19,JPY,2017/10/02,0.2608,0.2718,0.2672,0.2712
20,JPY,2017/09/30,0.2607,0.2717,0.2671,0.2711
21,JPY,2017/09/29,0.2613,0.2723,0.2677,0.2717
22,JPY,2017/09/28,0.2609,0.2719,0.2673,0.2713
